urdu_text,roman_text
آنکھ سے دور نہ ہو دل سے اتر جایے گا,aankh se duur na ho dil se utar jaega
وقت کا کیا ہے گزرتا ہے گزر جایے گا,vaqt ka kya hai guzarta hai guzar jaega
اتنا مانوس نہ ہو خلوت غم سے اپنی,itna manus na ho khalvat e gham se apni
تو کبھی خود کو بھی دیکھے گا تو ڈر جایے گا,tu kabhi khud ko bhi dekhega to dar jaega
ڈوبتے ڈوبتے کشتی کو اچھالا دے دوں,dubte dubte kashti ko uchhala de duun
میں نہیں کویی تو ساحل پہ اتر جایے گا,main nahin koi to sahil pe utar jaega
زندگی تیری عطا ہے تو یہ جانے والا,zindagi teri ata hai to ye jaane vaala
تیری بخشش تری دہلیز پہ دھر جایے گا,teri bakhshish tiri dahliz pe dhar jaega
ضبط لازم ہے مگر دکھ ہے قیامت کا فرازؔ,zabt lazim hai magar dukh hai qayamat ka 'faraz'
ظالم اب کے بھی نہ رویے گا تو مر جایے گا,zalim ab ke bhi na roega to mar jaega
عاشقی میں میرؔ جیسے خواب مت دیکھا کرو,ashiqi men 'mir' jaise khvab mat dekha karo
باؤلے ہو جاؤ گے مہتاب مت دیکھا کرو,bavle ho jaoge mahtab mat dekha karo
جستہ جستہ پڑھ لیا کرنا مضامین وفا,jasta jasta padh liya karna mazamin e vafa
پر کتاب عشق کا ہر باب مت دیکھا کرو,par kitab e ishq ka har baab mat dekha karo
اس تماشے میں الٹ جاتی ہیں اکثر کشتیاں,is tamashe men ulat jaati hain aksar kashtiyan
ڈوبنے والوں کو زیر آب مت دیکھا کرو,dubne valon ko zer e ab mat dekha karo
مے کدے میں کیا تکلف مے کشی میں کیا حجاب,mai kade men kya takalluf mai kashi men kya hijab
بزم ساقی میں ادب آداب مت دیکھا کرو,bazm e saqi men adab adab mat dekha karo
ہم سے درویشوں کے گھر آؤ تو یاروں کی طرح,ham se durveshon ke ghar aao to yaron ki tarah
ہر جگہ خس خانہ و برفاب مت دیکھا کرو,har jagah khas khana o barfab mat dekha karo
مانگے تانگے کی قباییں دیر تک رہتی نہیں,mange tange ki qabaen der tak rahti nahin
یار لوگوں کے لقب القاب مت دیکھا کرو,yaar logon ke laqab alqab mat dekha karo
تشنگی میں لب بھگو لینا بھی کافی ہے فرازؔ,tishnagi men lab bhigo lena bhi kaafi hai 'faraz'
جام میں صہبا ہے یا زہراب مت دیکھا کرو,jaam men sahba hai ya zahrab mat dekha karo
اب اور کیا کسی سے مراسم بڑھاییں ہم,ab aur kya kisi se marasim badhaen ham
یہ بھی بہت ہے تجھ کو اگر بھول جاییں ہم,ye bhi bahut hai tujh ko agar bhuul jaaen ham
صحرایے زندگی میں کویی دوسرا نہ تھا,sahra e zindagi men koi dusra na tha
سنتے رہے ہیں آپ ہی اپنی صداییں ہم,sunte rahe hain aap hi apni sadaen ham
اس زندگی میں اتنی فراغت کسے نصیب,is zindagi men itni faraghat kise nasib
اتنا نہ یاد آ کہ تجھے بھول جاییں ہم,itna na yaad aa ki tujhe bhuul jaaen ham
تو اتنی دل زدہ تو نہ تھی اے شب فراق,tu itni dil zada to na thi ai shab e firaq
آ تیرے راستے میں ستارے لٹاییں ہم,aa tere raste men sitare lutaen ham
وہ لوگ اب کہاں ہیں جو کہتے تھے کل فرازؔ,vo log ab kahan hain jo kahte the kal 'faraz'
ہے ہے خدا نہ کردہ تجھے بھی رلاییں ہم,he he khuda na karda tujhe bhi rulaen ham
اب کے ہم بچھڑے تو شاید کبھی خوابوں میں ملیں,ab ke ham bichhde to shayad kabhi khvabon men milen
جس طرح سوکھے ہویے پھول کتابوں میں ملیں,jis tarah sukhe hue phuul kitabon men milen
ڈھونڈ اجڑے ہویے لوگوں میں وفا کے موتی,dhundh ujde hue logon men vafa ke moti
یہ خزانے تجھے ممکن ہے خرابوں میں ملیں,ye khazane tujhe mumkin hai kharabon men milen
غم دنیا بھی غم یار میں شامل کر لو,gham e duniya bhi gham e yar men shamil kar lo
نشہ بڑھتا ہے شرابیں جو شرابوں میں ملیں,nashsha badhta hai sharaben jo sharabon men milen
تو خدا ہے نہ مرا عشق فرشتوں جیسا,tu khuda hai na mira ishq farishton jaisa
دونوں انساں ہیں تو کیوں اتنے حجابوں میں ملیں,donon insan hain to kyuun itne hijabon men milen
آج ہم دار پہ کھینچے گیے جن باتوں پر,aaj ham daar pe khinche gae jin baton par
کیا عجب کل وہ زمانے کو نصابوں میں ملیں,kya ajab kal vo zamane ko nisabon men milen
اب نہ وہ میں نہ وہ تو ہے نہ وہ ماضی ہے فرازؔ,ab na vo main na vo tu hai na vo maazi hai 'faraz'
جیسے دو شخص تمنا کے سرابوں میں ملیں,jaise do shakhs tamanna ke sarabon men milen
اب کے تجدید وفا کا نہیں امکاں جاناں,ab ke tajdid e vafa ka nahin imkan janan
یاد کیا تجھ کو دلاییں ترا پیماں جاناں,yaad kya tujh ko dilaen tira paiman janan
یوں ہی موسم کی ادا دیکھ کے یاد آیا ہے,yunhi mausam ki ada dekh ke yaad aaya hai
کس قدر جلد بدل جاتے ہیں انساں جاناں,kis qadar jald badal jaate hain insan janan
زندگی تیری عطا تھی سو ترے نام کی ہے,zindagi teri ata thi so tire naam ki hai
ہم نے جیسے بھی بسر کی ترا احساں جاناں,ham ne jaise bhi basar ki tira ehsan janan
دل یہ کہتا ہے کہ شاید ہے فسردہ تو بھی,dil ye kahta hai ki shayad hai fasurda tu bhi
دل کی کیا بات کریں دل تو ہے ناداں جاناں,dil ki kya baat karen dil to hai nadan janan
اول اول کی محبت کے نشے یاد تو کر,avval avval ki mohabbat ke nashe yaad to kar
بے پیے بھی ترا چہرہ تھا گلستاں جاناں,be piye bhi tira chehra tha gulistan janan
آخر آخر تو یہ عالم ہے کہ اب ہوش نہیں,akhir akhir to ye aalam hai ki ab hosh nahin
رگ مینا سلگ اٹھی کہ رگ جاں جاناں,rag e mina sulag utthi ki rag e jan janan
مدتوں سے یہی عالم نہ توقع نہ امید,muddaton se yahi aalam na tavaqqo na umiid
دل پکارے ہی چلا جاتا ہے جاناں جاناں,dil pukare hi chala jaata hai janan janan
ہم بھی کیا سادہ تھے ہم نے بھی سمجھ رکھا تھا,ham bhi kya saada the ham ne bhi samajh rakkha tha
غم دوراں سے جدا ہے غم جاناں جاناں,gham e dauran se juda hai gham e janan janan
اب کے کچھ ایسی سجی محفل یاراں جاناں,ab ke kuchh aisi saji mahfil e yaran janan
سر بہ زانو ہے کویی سر بہ گریباں جاناں,sar ba zanu hai koi sar ba gareban janan
ہر کویی اپنی ہی آواز سے کانپ اٹھتا ہے,har koi apni hi avaz se kaanp uthta hai
ہر کویی اپنے ہی سایے سے ہراساں جاناں,har koi apne hi saae se hirasan janan
جس کو دیکھو وہی زنجیر بہ پا لگتا ہے,jis ko dekho vahi zanjir ba pa lagta hai
شہر کا شہر ہوا داخل زنداں جاناں,shahr ka shahr hua dakhil e zindan janan
اب ترا ذکر بھی شاید ہی غزل میں آیے,ab tira zikr bhi shayad hi ghazal men aae
اور سے اور ہویے درد کے عنواں جاناں,aur se aur hue dard ke unvan janan
ہم کہ روٹھی ہویی رت کو بھی منا لیتے تھے,ham ki ruthi hui rut ko bhi mana lete the
ہم نے دیکھا ہی نہ تھا موسم ہجراں جاناں,ham ne dekha hi na tha mausam e hijran janan
ہوش آیا تو سبھی خواب تھے ریزہ ریزہ,hosh aaya to sabhi khvab the reza reza
جیسے اڑتے ہویے اوراق پریشاں جاناں,jaise udte hue auraq e pareshan janan
اب کیا سوچیں کیا حالات تھے کس کارن یہ زہر پیا ہے,ab kya sochen kya halat the kis karan ye zahr piya hai
ہم نے اس کے شہر کو چھوڑا اور آنکھوں کو موند لیا ہے,ham ne us ke shahr ko chhoda aur ankhon ko muund liya hai
اپنا یہ شیوہ تو نہیں تھا اپنے غم اوروں کو سونپیں,apna ye sheva to nahin tha apne gham auron ko saunpen
خود تو جاگتے یا سوتے ہیں اس کو کیوں بے خواب کیا ہے,khud to jagte ya sote hain us ko kyuun be khvab kiya hai
خلقت کے آوازے بھی تھے بند اس کے دروازے بھی تھے,khilqat ke avaze bhi the band us ke darvaze bhi the
پھر بھی اس کوچے سے گزرے پھر بھی اس کا نام لیا ہے,phir bhi us kuche se guzre phir bhi us ka naam liya hai
ہجر کی رت جاں لیوا تھی پر غلط سبھی اندازے نکلے,hijr ki rut jan leva thi par ghalat sabhi andaze nikle
تازہ رفاقت کے موسم تک میں بھی جیا ہوں وہ بھی جیا ہے,taaza rifaqat ke mausam tak main bhi jiya huun vo bhi jiya hai
ایک فرازؔ تمہیں تنہا ہو جو اب تک دکھ کے رسیا ہو,ek 'faraz' tumhin tanha ho jo ab tak dukh ke rasiya ho
ورنہ اکثر دل والوں نے درد کا رستہ چھوڑ دیا ہے,varna aksar dil valon ne dard ka rasta chhod diya hai
اب شوق سے کہ جاں سے گزر جانا چاہییے,ab shauq se ki jaan se guzar jaana chahiye
بول اے ہوایے شہر کدھر جانا چاہییے,bol ai hava e shahr kidhar jaana chahiye
کب تک اسی کو آخری منزل کہیں گے ہم,kab tak isi ko akhiri manzil kahenge ham
کویے مراد سے بھی ادھر جانا چاہییے,ku e murad se bhi udhar jaana chahiye
وہ وقت آ گیا ہے کہ ساحل کو چھوڑ کر,vo vaqt aa gaya hai ki sahil ko chhod kar
