Urdu,Roman_Urdu
آنکھ سے دور نہ ہو دل سے اتر جائے گا,aakh se duur na ho dil se utar jeg
وقت کا کیا ہے گزرتا ہے گزر جائے گا,vaqt k ky hai guzart hai guzar jeg
اتنا مانوس نہ ہو خلوت غم سے اپنی,itn mns na ho halvateham se apn
تو کبھی خود کو بھی دیکھے گا تو ڈر جائے گا,t kabh hud ko bh dekheg to dar jeg
ڈوبتے ڈوبتے کشتی کو اچھالا دے دوں,dbte dbte kasht ko uchhl de duu
میں نہیں کوئی تو ساحل پہ اتر جائے گا,mai nah ko to shil pe utar jeg
زندگی تیری عطا ہے تو یہ جانے والا,zindag ter at hai to ye jaane vaal
تیری بخشش تری دہلیز پہ دھر جائے گا,ter bahshish tir dahlz pe dhar jeg
ضبط لازم ہے مگر دکھ ہے قیامت کا فرازؔ,zabt lzim hai magar dukh hai qaymat k farz
ظالم اب کے بھی نہ روئے گا تو مر جائے گا,zlim ab ke bh na roeg to mar jeg
عاشقی میں میرؔ جیسے خواب مت دیکھا کرو,shiq me mr jaise hvb mat dekh karo
باؤلے ہو جاؤ گے مہتاب مت دیکھا کرو,bvle ho joge mahtb mat dekh karo
جستہ جستہ پڑھ لیا کرنا مضامین وفا,jasta jasta pah liy karn mazmnevaf
پر کتاب عشق کا ہر باب مت دیکھا کرو,par kitbeishq k har baab mat dekh karo
اس تماشے میں الٹ جاتی ہیں اکثر کشتیاں,is tamshe me ulat jaat hai aksar kashtiy
ڈوبنے والوں کو زیر آب مت دیکھا کرو,dbne vlo ko zereb mat dekh karo
مے کدے میں کیا تکلف مے کشی میں کیا حجاب,maikade me ky takalluf maikash me ky hijb
بزم ساقی میں ادب آداب مت دیکھا کرو,bazmesq me adab db mat dekh karo
ہم سے درویشوں کے گھر آؤ تو یاروں کی طرح,ham se durvesho ke ghar aao to yro k tarah
ہر جگہ خس خانہ و برفاب مت دیکھا کرو,har jagah hashna o barfb mat dekh karo
مانگے تانگے کی قبائیں دیر تک رہتی نہیں,mgetge k qabe der tak raht nah
یار لوگوں کے لقب القاب مت دیکھا کرو,yaar logo ke laqabalqb mat dekh karo
تشنگی میں لب بھگو لینا بھی کافی ہے فرازؔ,tishnag me lab bhigo len bh kaaf hai farz
جام میں صہبا ہے یا زہراب مت دیکھا کرو,jaam me sahb hai y zahrb mat dekh karo
اب اور کیا کسی سے مراسم بڑھائیں ہم,ab aur ky kis se marsim bahe ham
یہ بھی بہت ہے تجھ کو اگر بھول جائیں ہم,ye bh bahut hai tujh ko agar bhuul jaae ham
صحرائے زندگی میں کوئی دوسرا نہ تھا,sahrezindag me ko dsr na th
سنتے رہے ہیں آپ ہی اپنی صدائیں ہم,sunte rahe hai aap h apn sade ham
اس زندگی میں اتنی فراغت کسے نصیب,is zindag me itn farhat kise nasb
اتنا نہ یاد آ کہ تجھے بھول جائیں ہم,itn na yaad aa ki tujhe bhuul jaae ham
تو اتنی دل زدہ تو نہ تھی اے شب فراق,t itn dilzada to na th ai shabefirq
آ تیرے راستے میں ستارے لٹائیں ہم,aa tere rste me sitre lute ham
وہ لوگ اب کہاں ہیں جو کہتے تھے کل فرازؔ,vo log ab kah hai jo kahte the kal farz
ہے ہے خدا نہ کردہ تجھے بھی رلائیں ہم,he he hudnakarda tujhe bh rule ham
اب کے ہم بچھڑے تو شاید کبھی خوابوں میں ملیں,ab ke ham bichhe to shyad kabh hvbo me mile
جس طرح سوکھے ہوئے پھول کتابوں میں ملیں,jis tarah skhe hue phuul kitbo me mile
ڈھونڈ اجڑے ہوئے لوگوں میں وفا کے موتی,dhdh uje hue logo me vaf ke mot
یہ خزانے تجھے ممکن ہے خرابوں میں ملیں,ye hazne tujhe mumkin hai harbo me mile
غم دنیا بھی غم یار میں شامل کر لو,hameduniy bh hameyr me shmil kar lo
نشہ بڑھتا ہے شرابیں جو شرابوں میں ملیں,nashsha baht hai sharbe jo sharbo me mile
تو خدا ہے نہ مرا عشق فرشتوں جیسا,t hud hai na mir ishq farishto jais
دونوں انساں ہیں تو کیوں اتنے حجابوں میں ملیں,dono ins hai to kyuu itne hijbo me mile
آج ہم دار پہ کھینچے گئے جن باتوں پر,aaj ham daar pe khche gae jin bto par
کیا عجب کل وہ زمانے کو نصابوں میں ملیں,ky ajab kal vo zamne ko nisbo me mile
اب نہ وہ میں نہ وہ تو ہے نہ وہ ماضی ہے فرازؔ,ab na vo mai na vo t hai na vo maaz hai farz
جیسے دو شخص تمنا کے سرابوں میں ملیں,jaise do shahs tamann ke sarbo me mile
