Urdu,Roman_Urdu
جو بادلوں سے بھی مجھ کو چھپائے رکھتا تھا,jo bdalo se bh mujh ko chhupe rakht th
میری غزلوں میں حقائق ہیں فقط,mer hazlo me haqeq hai faqat
دل نہیں حوصلہ نہیں زہرہ نہیں جگر نہیں,dil nah hausla nah zohra nah jigar nah
مے ہے اسی کی نام پہ جس کے ابل پڑے,mai hai us k naam pe jis ke ubal pae
عرض خمیازۂ مجنوں ہے گریباں میرا,arzehamiyzaemajn hai gareb mer
کبھی جو ہوتی ہے تکرار غیر سے ہم سے,kabh jo hot hai takrr hair se ham se
میرؔ مرنا پڑے ہے خوباں پر,mr marn pae hai hb par
گرمیٔ دولت ہوئی آتش زن نام نکو,garmedaulat hui tishzanenmeniko
سراپا یک آئینہ دار شکستن,sarp yakadreshikastan
اپنی تنہائی پہ کچھ تو مہرباں ہونا ہی تھا,apn tanh pe kuchh to mehrb hon h th
ہوا کیے ہیں جواہر نثار ہم پر بھی,hu kiye hai javhir nisr ham par bh
ہوا ہے خندۂ احباب بخیہ جیب و دامن میں,hu hai handaeahbb bahiya jebodman me
آبگینہ کوہ پر عرض گراں جانی کرے,bgna koh par arzegirjn kare
ہر ذرہ کے نقاب میں دل بیقرار ہے,har zarra ke naqb me dil beqarr hai
خوش ہوتے ہیں پر وصل میں یوں مر نہیں جاتے,hush hote hai par vasl me yuu mar nah jaate
پتھرایا ہے دل یوں کہ کوئی اسم پڑھا جائے,pathry hai dil yuu ki ko ism pah jaae
چپ رہ نہ سکا حضرت یزداں میں بھی اقبالؔ,chup rah na sak hazrateyazd me bh iqbl
اب نظر آتا نہیں وہ مجمع اہل کمال,ab nazar aat nah vo majmaaeahlekaml
نہ جاتے گرچہ مر جاتے جو ہم معلوم کر جاتے,na jaate garche mar jaate jo ham mlm kar jaate
اتر کے دیکھ سفینے سے میری خاطر تو,utar ke dekh safne se mer htir t
نگاہ فتنہ خرام و در دو عالم باز,nigh fitnahirm o daredolam baaz
دل کوں دیتا ہے ہمارے پیچ و تاب,dil kuu det hai hamre pechotb
اک آگ سی وہ اور لگا کر چلے گئے,ik aag s vo aur lag kar chale gae
فریب دے کر نکالے مطلب سکھائے تحقیر دین و مذہب,fareb de kar nikle matlab sikhe tahqrednomazhab
اب انہیں پہچانتے بھی شرم آتی ہے ہمیں,ab unhe pahchnte bh sharm aat hai hame
نکلیں زیادہ داغ مرے دل کے چار پانچ,nikle ziyda daah mire dil ke chaar pch
قد میرا بڑھانے کا اسے کام ملا ہے,qad mer bahne k use kaam mil hai
پکارے کہتی تھی حسرت سے نعش عاشق کی,pukre kaht th hasrat se naash shiq k
غافل بہ وہم ناز خود آرا ہے ورنہ یاں,hfil bavahmenz hudr hai varna yaa
نالہ کرتا تھا جگر یاد آیا,naala kart th jigar yaad aay
پہنچے تری نظر نگہ دور بیں سے دور,pahuche tir nazar nigahedrb se duur
شاید ان کی آبرو ہونے لگی,shyad un k aabr hone lag
کم ہو کیسے ان خوشیوں سے تیرا غم,kam ho kaise in hushiyo se ter ham
اہل ظاہر جس قدر چاہیں کریں بحث و جدال,ahlezhir jis qadar chhe kare bahsojidl
ہجر والوں نے لیا رخت سفر سناٹا,hijr vlo ne liy rahtesafar sannt
یادش بخیر جب وہ تصور میں آ گیا,ydashbahair jab vo tasavvur me aa gay
وسیمؔ کیسی تعلق کی راہ تھی جس میں,vasm kais taalluq k raah th jis me
کوئی سایہ مرے بازو سے گزرتا ہی رہا,ko saaya mire baaz se guzart h rah
ہماری ہر نظر تجھ سے نئی سوگندھ کھاتی ہے,hamr har nazar tujh se na saugandh kht hai
ان ستاروں سے تو اپنی بھی شناسائی ہے,un sitro se to apn bh shans hai
فراقؔ اک نئی صورت نکل تو سکتی ہے,firq ik na srat nikal to sakt hai
غلامی داغ اپنے دھو رہی تھی,hulm daah apne dho rah th
مرتے ہیں ولے ان کی تمنا نہیں کرتے,marte hai vale un k tamann nah karte
وہ گائے تو آفت لائے ہے ہر تال میں لیوے جان نکال,vo gaae to aafat laae hai har taal me leve jaan nikl
اب یہی سوچ لیا دل میں کہ منزل کے بغیر,ab yah soch liy dil me ki manzil ke bahair
